codigo;data_publicacao;titulo;palavra;fonte;url;palavras;meio;data_investimento
2551696;28/05/2025 00:00;Petrobras inicia operações em nova unidade de hidrotratamento de diesel na Replan  ;ampliação;Valor Econômico;SP;ampliação;jornal;NA
2484467;01/01/2025 00:00;Fechamento de Carrefour do Center Norte é mostra do declínio dos hipermercados no Brasil;compra, empreendimento, expansão, investimentos;Folha de S. Paulo;https://www1.folha.uol.com.br/mercado/2025/01/fechamento-de-carrefour-do-center-norte-e-mostra-do-declinio-dos-hipermercados-no-brasil.shtml;compra, empreendimento, expansão, investimentos;Portais;02/01/2025 16:16
2484986;03/01/2025 00:00;Rhino levanta mais R$ 10 milhões: com a expansão, vem a exposição;ampliar, expansão;Pipeline Valor Online;https://pipelinevalor.globo.com/startups/noticia/rhino-levanta-mais-r-10-milhoes-com-a-expansao-vem-a-exposicao.ghtml;ampliar, expansão;Portais;03/01/2025 18:39
2487783;11/01/2025 00:00;"Roda-gigante de 38 metros opera em Ubatuba e leva até animais de estimação; veja como é";comprar, inaugura, inauguração, instalação;Estadão;https://www.estadao.com.br/sao-paulo/roda-gigante-de-38-metros-opera-em-ubatuba-e-leva-ate-animais-de-estimacao-veja-como-e/;comprar, inaugura, inauguração, instalação;Portais;13/01/2025 19:11
2487819;11/01/2025 00:00;O que comer no novo menu degustação do Maní?;inaugurou;Estadão;https://www.estadao.com.br/paladar/radar/o-que-comer-menu-mani/;inaugurou;Portais;13/01/2025 19:11
2488003;12/01/2025 00:00;Sesc Franca: grandes filas demonstram alta procura por ingressos;inaugura, inauguração;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2877498/franca-e-regiao/2025/01/sesc-franca-grandes-filas-demonstram-alta-procura-por-ingressos;inaugura, inauguração;Portais;13/01/2025 19:11
2488005;12/01/2025 00:00;Sesc Franca: grandes filas demonstram alta procura por ingressos;inaugura, inauguração;O Vale;https://sampi.net.br/ovale/noticias/2877498/franca-e-regiao/2025/01/sesc-franca-grandes-filas-demonstram-alta-procura-por-ingressos;inaugura, inauguração;Portais;13/01/2025 19:12
2488078;12/01/2025 00:00;Sesc SP tem 28 milhões de visitantes em 2024;abertura, inaugurou;Folha de S. Paulo;https://www1.folha.uol.com.br/colunas/monicabergamo/2025/01/sesc-sp-tem-28-milhoes-de-visitantes-em-2024.shtml;abertura, inaugurou;Portais;13/01/2025 19:12
2485967;06/01/2025 00:00;Investimentos em data centers devem chegar a quase US$ 2 bilhões até 2026;construção, expandir, investimento, investimentos;Estadão;https://www.estadao.com.br/economia/coluna-do-broad/investimentos-em-data-centers-devem-chegar-a-quase-us-2-bilhoes-ate-2026/;construção, expandir, investimento, investimentos;Portais;14/01/2025 15:28
2486169;07/01/2025 00:00;Decisão sobre investimentos em Gato do Mato deve ser tomada entre março e abril, diz presidente da Shell;investimentos;Valor Econômico;https://valor.globo.com/empresas/noticia/2025/01/07/decisao-sobre-investimentos-em-gato-do-mato-deve-ser-tomada-entre-marco-e-abril-diz-presidente-da-shell.ghtml;investimentos;Portais;14/01/2025 15:31
2486555;08/01/2025 00:00;BNDES aprova R$ 1 bilhão para Raízen produzir etanol de 2ª geração;construção, expansão, financiamento, inovação, investimentos;Folha de S. Paulo;https://www1.folha.uol.com.br/mercado/2025/01/bndes-aprova-r-1-bilhao-para-raizen-produzir-etanol-de-2a-geracao.shtml;construção, expansão, financiamento, inovação, investimentos;Portais;14/01/2025 15:33
2486381;07/01/2025 00:00;Liebherr deve anunciar R$ 500 mi de investimento na região;construção, expansão, investimento;O Vale;https://sampi.net.br/ovale/noticias/2877282/cidades/2025/01/liebherr-deve-anunciar-r-500-mi-de-investimento-na-regiao;construção, expansão, investimento;Portais;14/01/2025 15:49
2486380;07/01/2025 00:00;Liebherr deve anunciar R$ 500 mi de investimento na região;construção, expansão, investimento;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2877282/vale-do-paraiba/2025/01/liebherr-deve-anunciar-r-500-mi-de-investimento-na-regiao;construção, expansão, investimento;Portais;14/01/2025 15:49
2486884;08/01/2025 00:00;Estética ?easy-chic? e foco em sustentabilidade na nova loja da Cia. Marítima na Oscar Freire;inaugura;Estadão;https://www.estadao.com.br/cultura/gilberto-amendola/estetica-easy-chic-e-foco-em-sustentabilidade-na-nova-loja-da-cia-maritima-na-oscar-freire/;inaugura;Portais;15/01/2025 15:40
2487039;09/01/2025 00:00;Fundo da Angra Partners investe R$ 20 milhões na Promip;expandir, inovação, investimento;Estadão;https://agro.estadao.com.br/sustentabilidade/fundo-da-angra-partners-investe-r-20-milhoes-na-promip;expandir, inovação, investimento;Portais;15/01/2025 15:52
2486682;08/01/2025 00:00;BNDES empresta R$ 1 bilhão para construção de planta de etanol de segunda geração da Raízen;ampliação;Estadão;https://agro.estadao.com.br/sustentabilidade/bndes-empresta-r-1-bilhao-para-construcao-de-planta-de-etanol-de-segunda-geracao-da-raizen;ampliação, construção, expansão, financiamento, inovação, investimento, investimentos;Portais;15/01/2025 15:55
2486826;08/01/2025 00:00;CPFL Paulista projeta R$ 10,2 bilhões em investimentos até 2029;ampliação, construção, expansão, investimentos, investir, concessão;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2877462/aracatuba/2025/01/cpfl-paulista-projeta-r-102-bilhoes-em-investimentos-ate-2029;ampliação, construção, expansão, investimentos, investir, concessão;Portais;15/01/2025 16:00
2486833;08/01/2025 00:00;CPFL Paulista projeta R$ 10,2 bilhões em investimentos até 2029;ampliação, construção, expansão, investimentos, investir, concessão;O Vale;https://sampi.net.br/ovale/noticias/2877462/aracatuba/2025/01/cpfl-paulista-projeta-r-102-bilhoes-em-investimentos-ate-2029;ampliação, construção, expansão, investimentos, investir, concessão;Portais;15/01/2025 16:00
2486897;08/01/2025 00:00;Patria Investimentos contrata Itaú BBA para vender térmica Marlim Azul;construção, empreendimento, expandir, expansão, investimentos;Estadão;https://www.estadao.com.br/economia/coluna-do-broad/patria-investimentos-contrata-itau-bba-para-vender-termica-marlim-azul/;construção, empreendimento, expandir, expansão, investimentos;Portais;15/01/2025 16:39
2486941;09/01/2025 00:00;Raízen obtém R$ 1 bi para etanol de 2ª geração;financiamento;Valor Econômico;https://valor.globo.com/impresso/noticia/2025/01/09/raizen-obtem-r-1-bi-para-etanol-de-2a-geracao.ghtml;financiamento;Portais;15/01/2025 16:40
2487027;09/01/2025 00:00;Fundo da Angra Partners investe R$ 20 milhões na Promip;expandir, inovação, investimento;Diário da Região/São José do Rio Preto;https://www.diariodaregiao.com.br/agencia/fundo-da-angra-partners-investe-r-20-milh-es-na-promip-1.2026404;expandir, inovação, investimento;Portais;15/01/2025 16:40
2487062;09/01/2025 00:00;Equatorial investirá R$ 172 milhões para modernizar gestão da distribuição de energia;investimento, concessão;Valor Econômico;https://valor.globo.com/empresas/noticia/2025/01/09/equatorial-investira-r-172-milhoes-para-modernizar-gestao-da-distribuicao-de-energia.ghtml;investimento, concessão;Portais;15/01/2025 16:43
2488524;13/01/2025 00:00;Santa Casa amplia capacidade de hemodiálise para atender região;ampliar, aquisição, expande, expansão, investimento;O Vale;https://sampi.net.br/ovale/noticias/2878351/aracatuba/2025/01/santa-casa-amplia-capacidade-de-hemodialise-para-atender-regiao;ampliar, aquisição, expande, expansão, investimento;Portais;15/01/2025 16:47
2488522;13/01/2025 00:00;Santa Casa amplia capacidade de hemodiálise para atender região;ampliar, aquisição, expande, expansão, investimento;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2878351/aracatuba/2025/01/santa-casa-amplia-capacidade-de-hemodialise-para-atender-regiao;ampliar, aquisição, expande, expansão, investimento;Portais;15/01/2025 16:47
2490280;16/01/2025 00:00;"Croissant & Cia inaugura em Bauru; veja cobertura e fotos";inaugurou;O Vale;https://sampi.net.br/ovale/noticias/2879043/checkin/2025/01/croissant-e-cia-inaugura-em-bauru-veja-cobertura-e-fotos;inaugurou;Portais;16/01/2025 18:33
2490279;16/01/2025 00:00;"Croissant & Cia inaugura em Bauru; veja cobertura e fotos";inaugurou;Jornal da Cidade de Bauru - JCNET;https://sampi.net.br/bauru/noticias/2879043/checkin/2025/01/croissant-e-cia-inaugura-em-bauru-veja-cobertura-e-fotos;inaugurou;Portais;21/01/2025 11:03
2489825;15/01/2025 00:00;Agência da Caixa celebra mulher que fez banco abrir creches;inaugurou, abrir;Folha de S. Paulo;https://www1.folha.uol.com.br/colunas/painelsa/2025/01/agencia-da-caixa-celebra-mulher-que-fez-banco-abrir-creches.shtml;inaugurou, abrir;Portais;21/01/2025 11:14
2489431;15/01/2025 00:00;Nova fábrica de açúcar da Usina Caeté fica pronta em março;empreendimento, inaugura, inauguração, instalação, investimento, abrir;Jornal Cana;https://jornalcana.com.br/mercado/nova-fabrica-de-acucar-da-usina-caete-fica-pronta-em-marco/;empreendimento, inaugura, inauguração, instalação, investimento, abrir;Portais;21/01/2025 11:20
2489814;15/01/2025 00:00;Restaurante Z-Deli reabre com fila de espera, ambiente descolado e novos pratos;abertura, reforma;Estadão;https://www.estadao.com.br/paladar/por-ai/restaurante-z-deli-reabre-com-fila-de-espera-ambiente-descolado-e-novos-pratos/;abertura, reforma;Portais;21/01/2025 11:34
2488949;14/01/2025 00:00;Com novo aporte de R$ 10 milhões, Central da Visão amplia acesso a cirurgias;investimentos, abrir;Estadão;https://www.estadao.com.br/pme/blog-do-empreendedor/com-novo-aporte-de-r-10-milhoes-central-da-visao-amplia-acesso-a-cirurgias/;investimentos, abrir;Portais;21/01/2025 11:45
2491900;21/01/2025 00:00;Nova sala de espetáculos da cidade, a Estação CCR das Artes, será inaugurada no aniversário de SP;abertura;Estadão;https://www.estadao.com.br/cultura/gilberto-amendola/nova-sala-de-espetaculos-da-cidade-a-estacao-ccr-das-artes-sera-inaugurada-no-aniversario-de-sp/;abertura;Portais;22/01/2025 10:40
2491981;21/01/2025 00:00;Provedora Brasil TecPar recebe investimento de R$ 300 mi dos australianos da Macquarie Capital;expansão, investimento, investimentos;Diário da Região/São José do Rio Preto;https://www.diariodaregiao.com.br/agencia/provedora-brasil-tecpar-recebe-investimento-de-r-300-mi-dos-australianos-da-macquarie-capital-1.2029448;expansão, investimento, investimentos;Portais;22/01/2025 10:55
2492238;22/01/2025 00:00;"Porto anuncia patrocínio à Ciclovia do Rio Pinheiros; iniciativa é parte de projeto de revitalização";concessão, revitalização;Estadão;https://www.estadao.com.br/cultura/gilberto-amendola/porto-anuncia-patrocinio-a-ciclovia-do-rio-pinheiros-iniciativa-e-parte-de-projeto-de-revitalizacao/;concessão, revitalização;Portais;22/01/2025 10:57
2491789;21/01/2025 00:00;"Aeroporto de Viracopos implementa embarque com biometria facial; entenda";expandir, instalar;Estadão;https://www.estadao.com.br/economia/aeroporto-de-viracopos-implementa-embarque-com-biometria-facial-nprei/;expandir, instalar;Portais;22/01/2025 11:01
2491508;20/01/2025 00:00;Mercadão de SP é reinaugurado após reforma, mas obras no local seguem até agosto;abertura, ampliação, construção, instalação, concessão, reforma;Diário da Região/São José do Rio Preto;https://www.diariodaregiao.com.br/agencia/mercad-o-de-sp-e-reinaugurado-apos-reforma-mas-obras-no-local-seguem-ate-agosto-1.2029117;abertura, ampliação, construção, instalação, concessão, reforma;Portais;22/01/2025 11:26
2491174;19/01/2025 00:00;Mercadão de SP entrega 1ª fase de restauro, com um ano e meio de atraso;construção, instalação, investimento, concessão, reforma;Folha de S. Paulo;https://www1.folha.uol.com.br/cotidiano/2025/01/mercadao-de-sp-entrega-1a-fase-de-restauro-com-um-ano-e-meio-de-atraso.shtml;construção, instalação, investimento, concessão, reforma;Portais;22/01/2025 11:27
