anuncio_data;empresa_alvo;municipio;regiao;descr_investimento;setor_desc;cnae_inv_2_desc
30/04/2025;Atvos;São Paulo;RM São Paulo;Investirá usina(s) implementando uma rede própria de 4G em oitos usinas de cana-de-açúçar em vários estados inclusive São Paulo;Agropecuária;Agricultura, pecuária e serviços relacionados
30/04/2025;Pedra Agroindustrial  e TIM;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Implantação usina com  4G para as zonas rurais  nas usinas de  cana-de-açucar e pecuária e produção de soja;Agropecuária;Agricultura, pecuária e serviços relacionados
24/03/2025;Seleon Biotecnologia;Itatinga;RA Sorocaba;Inauguração central de coleta e processamento de sêmen equino baseada em modelos internacionais;Agropecuária;Agricultura, pecuária e serviços relacionados
30/05/2025;Cavalletta;Jacareí;RA São José dos Campos;Instalação fábrica de motos elétricas em Jacareí;Indústria;Fabricação de outros equipamentos de transporte, exceto veículos automotores
23/05/2025;Amam;Vinhedo;RA Campinas;Instalação Indústria do setor de cosméticos com foco em tecnologia de ponta e práticas sustentáveis.;Indústria;Fabricação de produtos químicos
14/05/2025;Great Wall Motor - GWM;Iracemápolis;RA Campinas;Expansão, modernização e manutenção unidade na reativação da fábrica  de Iracemápolis que começará a operar em Julho 2025;Indústria;Fabricação de veículos automotores, reboques e carrocerias
13/05/2025;Suzano;Americana;RA Campinas;Inauguração centro de distribuição a estrutura já está em operação desde o mês passado.;Indústria;Fabricação de celulose, papel e produtos de papel
01/04/2025;Blanver;Mairiporã;RM São Paulo;Construção fábrica de produção de medicamentos contra o vírus HIV;Indústria;Fabricação de produtos farmoquímicos e farmacêuticos
25/03/2025;Unilever;Aguaí;RA Campinas;Ampliação unidade de distribuição e a produção de desodorantes;Indústria;Fabricação de produtos químicos
06/03/2025;USA Pereira Barreto;Pereira Barreto;RA Araçatuba;construida usina digital que deverá operar a partir de abril baseado no conceito de gêmeo digital;Indústria;Fabricação de produtos alimentícios
28/02/2025;Gestamp;Piracicaba;RA Campinas;Construção fábrica da multinacional espanhola de engenharia automotiva., em Piracicaba;Indústria;Fabricação de veículos automotores, reboques e carrocerias
19/02/2025;Gerdau;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Manutenção unidades  e modernização para melhoria de competitividade desenvlvimentos de projetos de manutenção são para expandir e melhorar a vida útil das equipamentos;Indústria;Metalurgia
12/02/2025;Embraer;São José dos Campos;RA São José dos Campos;Ampliação empresa de produção de aeronaves, desenvolver novos produtos e tecnologias e expandir os negócios em mercados internacionais;Indústria;Fabricação de outros equipamentos de transporte, exceto veículos automotores
30/01/2025;General Motors;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Ampliação fábrica e desenvolvimento de novos produtos e veículos, os recursos serão aplicados no período de 2024 a 2028 (complemento da ficha 7482);Indústria;Fabricação de veículos automotores, reboques e carrocerias
23/01/2025;Usina Alcoeste;Fernandópolis;RA São José do Rio Preto;Implantação Sistema do S-PAA, ferramenta de otimização em tempo real que promete elevar os padrões de eficiência e sustentabilidade em suas operações.;Indústria;Fabricação de produtos alimentícios
17/01/2025;Bionovis;Valinhos;RA Campinas;Instalação Linha de produção de insumos e medicamentos biotecnológicos de alta complexidade, contra o câncer, doenças raras e doenças autoimunes;Indústria;Fabricação de produtos farmoquímicos e farmacêuticos
07/01/2025;Liebherr Aerospace;Guaratinguetá;RA São José dos Campos;Ampliação empresa de produção de componentes do setor aeroespacial especializada em usinagens de precisão, tratamentos de superfície e montagem de componentes e de controle de voo, sistemas de gerenciamento de ar e trens de pouso;Indústria;Fabricação de outros equipamentos de transporte, exceto veículos automotores
28/05/2025;Petrobras;Paulínia;RA Campinas;Ampliação unidade  inicia operações em nova unidade de hidrotratamento de diesel na Replan;Infraestrutura;Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis
11/05/2025;Sabesp;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Implantação projeto para universalização do saneamento até 2029,  em 2025 será regularizada 40 mil ligações de água e esgoto na região, com a construção de novas redes de esgoto e estações elevatórias;Infraestrutura;Captação, tratamento e distribuição de água
09/05/2025;Cocal e Lemon Energia;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Implantação usina solar fotovoltaica no Oeste Paulista disponibilizando aos próprios colaboradores da Cocal e aos pequenos e médios empresários locais;Infraestrutura;Eletricidade, gás e outras utilidades
07/05/2025;Sabesp;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Instalação tubulação de infraestrutura necessária para coleta e tratamento de esgoto em Arujá, Ferraz de Vasconcelos, Itaquaquecetuba, Poá e Suzano. Ainda segundo a Sabesp, as obras somam um investimento de R$ 2 bilhões e devem ser concluídas em setembro de 2027.;Infraestrutura;Esgoto e atividades relacionadas
05/05/2025;JBS;Andradina;RA Araçatuba;Investirá unidades a energia elétrica a partir do metano para abastecer geradores das unidades da Friboi de Andradina(SP)e Ituitaba;Infraestrutura;Eletricidade, gás e outras utilidades
01/05/2025;Sabesp;Guarujá;RA Santos;Construção reservatório de Morrinhos, entrará em operação neste semestre atendendo vários bairros do Guarujá;Infraestrutura;Captação, tratamento e distribuição de água
30/04/2025;Aeroporto de Congonhas;São Paulo;RM São Paulo;Ampliação e modernização Novo Terminal localizada no piso inferior, o novo terminal de passageiros esta sendo ampliada ;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
30/04/2025;Sabesp;São Vicente;RA Santos;Instalação rede aérea provisória para restabelecer fornecimento de água;Infraestrutura;Captação, tratamento e distribuição de água
15/04/2025;Santos Brasil;Santos;RA Santos;Aquisição frota , composta por 35 caminhões Scania P 340 desenvolvidos especificamente para operações portuárias, movidos a gás natural comprimido (GNC);Infraestrutura;Armazenamento e atividades auxiliares dos transportes
14/04/2025;Infraero;Guarujá;RA Santos;Modernização aeroporto e terminal de passageiros, cercamento operacional e sinalização de pista do Aeroporto Civil Metropolitano de Guarujá (complemento da ficha 6525 );Infraestrutura;Armazenamento e atividades auxiliares dos transportes
10/04/2025;Telecom Italia Mobile - TIM;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Modernização rede de telecomunicações e ampliar a cobertura de internet 4G e 5G;Infraestrutura;Telecomunicações
08/04/2025;EDP São Paulo;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Implantação projetos  selecionados na Chamada Pública de Projetos de Eficiência Energética,  quatro projetos;Infraestrutura;Eletricidade, gás e outras utilidades
08/04/2025;CCR AutoBAn;Jundiaí;RA Campinas;Recuperação rodovias de taludes na rodovia dos Bandeirantes, km 64, e na Anhanguera, km 60, no sentido capital;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
06/04/2025;Rumo;Dois Córregos;RA Bauru;Inauguração viaduto rodoviário na Estrada Municipal XV de Novembro;Infraestrutura;Transporte terrestre
31/03/2025;Comporte;Inter-regionais                                                                                                                                                                                                                                     ;Inter-regionais;Concessão linha(s)  do Lote Alto Tietê, referente às linhas 11-Coral, 12-Safira e 13-Jade da Companhia de Trens Metropolitanos (CPTM) de trens terão dez novas estações, viagens mais rápidas e estações mais modernas;Infraestrutura;Transporte terrestre
31/03/2025;MRS Logística;Várzea Paulista;RA Campinas;Construção Linha  férrea para cargas e melhorias na estação tombada, ampliando o escoamento logístico e ligação direta com o porto de Santos;Infraestrutura;Transporte terrestre
05/03/2025;Cofco;Santos;RA Santos;Abertura Terminal de exportação  para inversões em agricultura pelo mundo e que será o maior porto em movimentação dinâmica dentro do Porto de Santos;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
